fid,accident_id,accident_year,accident_outcome,accident_outcome_standardized,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,current_boolean,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry,longitude,latitude
ongevallen_2022_2024.278,20220067354,2022,Uitsluitend materiele schade,property_damage_only,2,Fiets,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,311165060.0,,Waterlinie,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (155647.4459999986 383051.53500000015),5.396512187659995,51.43656625834255
ongevallen_2022_2024.708,20230008779,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Bromfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Nat,Schemer,,Droog,,,,,,,600219014.0,,,Mauritsstraat,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160926.5353000015 382865.3002999984),5.472430642371331,51.43486138369077
ongevallen_2022_2024.968,20230007858,2023,Uitsluitend materiele schade,property_damage_only,2,Snorfiets,,e-bike,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600311590.0,,,Mathildelaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161137.62170000002 383560.53559999913),5.475478409509473,51.44110836164471
ongevallen_2022_2024.970,20230009169,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,327167033.0,,Generaal Bothastraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (163854.94700000063 383661.2509999983),5.514564194097124,51.44197748234777
ongevallen_2022_2024.1383,20240034437,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218945.0,,,Professor Dr Dorgelolaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161535.47239999846 383981.58729999885),5.481208516959322,51.44488857575896
ongevallen_2022_2024.1451,20240034572,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,DIENSTVOERTUIGEN STONDEN OP DE,,DIENSTVOERTUIG STONDEN OP DE R,324169034.0,,,Ds Theodor Fliednerstr,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162106 384849),5.489432616864887,51.45267854043015
ongevallen_2022_2024.1481,20240034790,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,319167007.0,,Strijpsestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159600.72300000116 383551.41899999976),5.453373070609526,51.441041079119955
ongevallen_2022_2024.1724,20220149491,2022,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Snorfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,,,ZOAB,Droog,Daglicht,,Droog,,,,,,,311169002.0,,,Adriaan Mulderweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (155664.47439999878 384867.7707999982),5.396760566460162,51.45289178835327
ongevallen_2022_2024.1875,20220188531,2022,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,600218973.0,,,Jan Smitzlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161419.8964000009 382499.1779999994),5.4795190024859135,51.431565021400665
ongevallen_2022_2024.1879,20220189120,2022,Uitsluitend materiele schade,property_damage_only,2,Fiets,,Bromfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,,,,,,,,,322168208.0,,,Gildelaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161131.92500000075 384293.8990000002),5.475409259340008,51.447700381594615
ongevallen_2022_2024.1907,20220188805,2022,Uitsluitend materiele schade,property_damage_only,2,Snorfiets,,Landbouwvoertuig,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Klinkers,Nat,Daglicht,,Regen,,,,T KRUISING,,,600219104.0,,,Essenstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160138.58150000125 383826.39070000127),5.461113097578083,51.44350805334127
ongevallen_2022_2024.2125,20240092314,2024,Uitsluitend materiele schade,property_damage_only,1,Fiets,,,,Los voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,,324165071.0,,Geldropseweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162270.0610000007 382606.47199999914),5.4917465692464384,51.432519118120304
ongevallen_2022_2024.2165,20240092569,2024,Letsel,injury,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,VOP,,,,,,600219287.0,,,Huizingalaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160064.06639999896 387300.12000000104),5.460091361584424,51.474732897372725
ongevallen_2022_2024.2215,20240082965,2024,Letsel,injury,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,,Binnen,70.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,,600803108.0,,Aalsterweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161855.8830000013 381694.5329999998),5.485772814179191,51.424327192250686
ongevallen_2022_2024.2290,20240043980,2024,Uitsluitend materiele schade,property_damage_only,2,Snorfiets,,Bromfiets,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,Werk in uitvoering,,,314171016.0,,Oirschotsedijk,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (157513.70699999854 386013.93299999833),5.423373197226596,51.4631890055948
ongevallen_2022_2024.2349,20240102576,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218216.0,,,Lichtenberg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159109.39290000126 380765.01740000024),5.446273718779391,51.41599881518917
ongevallen_2022_2024.2770,20230054332,2023,Uitsluitend materiele schade,property_damage_only,4,Bromfiets,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Brandend,Beton,Droog,Daglicht,,Droog,,,,,,,,600939543.0,,Vestdijk,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,Ja,,POINT (161542.11400000006 383355.78400000185),5.481292413633616,51.439263362360364
ongevallen_2022_2024.2848,20230041004,2023,Uitsluitend materiele schade,property_damage_only,2,Bromfiets,,Fiets,,Frontaal,Ongeval gekoppeld op straat niveau.,Bocht,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,325172043.0,,Craterlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162649.28200000152 386500.5870000012),5.497284555889239,51.46751695884383
ongevallen_2022_2024.3318,20220229054,2022,Letsel,injury,3,Personenauto,,Fiets,,Onbekend,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,322165012.0,,,Jan Smitzlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161427.7879000008 382503.46730000153),5.479632560467204,51.43160348648138
ongevallen_2022_2024.3475,20220227740,2022,Uitsluitend materiele schade,property_damage_only,2,Snorfiets,,Bestelauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,600219578.0,,,Firmamentlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162950.05939999968 386501.9633000009),5.501613174058317,51.46752516072399
ongevallen_2022_2024.3478,20220229251,2022,Letsel,injury,2,Personenauto,,Fiets,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,FIETSPAD,,,600218799.0,,,Dutmalapad,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161846.28909999877 384518.3038999997),5.485689809608701,51.44970924502734
ongevallen_2022_2024.4057,20240136888,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,317168068.0,,,Needestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158922.98169999942 384277.6141999997),5.44363323592168,51.44757374373414
ongevallen_2022_2024.4128,20240147276,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,,319167070.0,,Kastanjelaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159793.85500000045 383997.5799999982),5.456156968487869,51.445049860116264
ongevallen_2022_2024.4328,20240156606,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,VOP,,,,,,600219232.0,,,Barrierweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160330.42269999906 385713.96079999954),5.4639011206565335,51.46047299953286
ongevallen_2022_2024.4720,20240155910,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Snorfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,317166010.0,,,St Theresiastraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158701.7580000013 383253.16230000183),5.44044012805151,51.43836678270093
ongevallen_2022_2024.4723,20240157063,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,324162034.0,,,Winkelstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162302.94849999994 381213.1596000008),5.49219060603511,51.41999466529384
ongevallen_2022_2024.5041,20230030885,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Bromfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Regen,,,,,,,318168172.0,,,Schootsestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159494.53299999982 384312.8429999985),5.451855478180364,51.44788612579151
ongevallen_2022_2024.5122,20230071999,2023,Uitsluitend materiele schade,property_damage_only,1,Bromfiets,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,324170024.0,,,Ds Theodor Fliednerstr,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162133.77050000057 385373.41209999844),5.4898427805357635,51.45739194897328
ongevallen_2022_2024.5170,20230031006,2023,Uitsluitend materiele schade,property_damage_only,3,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,320167023.0,,,Essenstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160146.05249999836 383756.0623999983),5.461219529371005,51.44287582731003
ongevallen_2022_2024.5283,20230031120,2023,Uitsluitend materiele schade,property_damage_only,2,Bromfiets,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,,Binnen,50.0,Brandend,Overig asfalt,Droog,Schemer,,Droog,,,,,,,314165202.0,,,Grasdreef,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (157229.08999999985 382706.51300000027),5.41925652980655,51.43346090160198
ongevallen_2022_2024.5574,20240033862,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,310165163.0,,,Meerhovendreef,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (155460.33999999985 382866.0229999982),5.393821059864922,51.43489893815794
ongevallen_2022_2024.5685,20230099803,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Bromfiets,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Schemer,,Droog,Andere oversteekplaats,,,,,,317176166.0,,,Fransebaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158497.97199999914 388376.9140999988),5.437560320942031,51.48442375429521
ongevallen_2022_2024.5846,20230081378,2023,Uitsluitend materiele schade,property_damage_only,1,Bromfiets,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,,Droog,,,,,,,,600804810.0,,Soeterbeekseweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (163397.89299999923 386582.8029999994),5.508060027018281,51.46824529491167
ongevallen_2022_2024.5847,20230081402,2023,Letsel,injury,3,Fiets,,Bestelauto,,Eenzijdig,Ongeval gekoppeld op straat niveau.,Bocht,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,,323169064.0,,Onze Lieve Vrouwestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161768.2349999994 384834.41800000146),5.484573029953927,51.452551630925434
ongevallen_2022_2024.5963,20230092767,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,600219290.0,,,Huizingalaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160088.81289999932 387315.2109999992),5.460447772199206,51.47486832160823
ongevallen_2022_2024.6208,20220112006,2022,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,e-bike,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,,Regen,,,,,,,,600800575.0,,Marconilaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159960.80700000003 384620.2419999987),5.458567234931986,51.45064531337341
ongevallen_2022_2024.6716,20230007335,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,,325162140.0,,Korianderstraat,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162836.68299999833 381489.79399999976),5.499869902450033,51.4224740704479
ongevallen_2022_2024.6902,20230007510,2023,Uitsluitend materiele schade,property_damage_only,2,Motor,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,,Overig asfalt,Nat,Daglicht,,,Andere oversteekplaats,,,,,,600218647.0,,,Leostraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162317.2624000013 381677.5287999995),5.492406034361594,51.42416854275691
