fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.1383,20240034437,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218945.0,,,Professor Dr Dorgelolaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161535.47239999846 383981.58729999885)
ongevallen_2022_2024.1451,20240034572,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,DIENSTVOERTUIGEN STONDEN OP DE,,DIENSTVOERTUIG STONDEN OP DE R,324169034.0,,,Ds Theodor Fliednerstr,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162106 384849)
ongevallen_2022_2024.1481,20240034790,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,319167007.0,,Strijpsestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159600.72300000116 383551.41899999976)
ongevallen_2022_2024.2125,20240092314,2024,property_damage_only,1,bicycle,,,,Los voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,,324165071.0,,Geldropseweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162270.0610000007 382606.47199999914)
ongevallen_2022_2024.2165,20240092569,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,VOP,,,,,,600219287.0,,,Huizingalaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160064.06639999896 387300.12000000104)
ongevallen_2022_2024.2215,20240082965,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,,Binnen,70.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,,600803108.0,,Aalsterweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161855.8830000013 381694.5329999998)
ongevallen_2022_2024.2290,20240043980,2024,property_damage_only,2,light_moped,,moped,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,Werk in uitvoering,,,314171016.0,,Oirschotsedijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157513.70699999854 386013.93299999833)
ongevallen_2022_2024.2349,20240102576,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218216.0,,,Lichtenberg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159109.39290000126 380765.01740000024)
ongevallen_2022_2024.4057,20240136888,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,317168068.0,,,Needestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158922.98169999942 384277.6141999997)
ongevallen_2022_2024.4128,20240147276,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,,319167070.0,,Kastanjelaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159793.85500000045 383997.5799999982)
ongevallen_2022_2024.4328,20240156606,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,VOP,,,,,,600219232.0,,,Barrierweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160330.42269999906 385713.96079999954)
ongevallen_2022_2024.4720,20240155910,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,317166010.0,,,St Theresiastraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158701.7580000013 383253.16230000183)
ongevallen_2022_2024.4723,20240157063,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,324162034.0,,,Winkelstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162302.94849999994 381213.1596000008)
ongevallen_2022_2024.5574,20240033862,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,310165163.0,,,Meerhovendreef,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (155460.33999999985 382866.0229999982)
