id,element,geometry,highway
4260673,way,"LINESTRING (5.486348 51.445805, 5.486357 51.445783, 5.486362 51.445478)",cycleway
4260684,way,"LINESTRING (5.500175 51.446579, 5.500146 51.446518)",cycleway
4260685,way,"LINESTRING (5.500441 51.447396, 5.500568 51.447655)",cycleway
4260687,way,"LINESTRING (5.525353 51.455083, 5.525332 51.455161, 5.525315 51.455306, 5.525344 51.455391, 5.525393 51.455471, 5.525463 51.455542, 5.525598 51.455605, 5.525776 51.455685, 5.526156 51.455826, 5.52629 51.455888, 5.526417 51.45596, 5.52657 51.456058)",cycleway
4260692,way,"LINESTRING (5.528035 51.458544, 5.528074 51.458551, 5.528095 51.458552, 5.528139 51.458544, 5.52822 51.458534)",cycleway
4260693,way,"LINESTRING (5.526965 51.456862, 5.52666 51.456381, 5.526567 51.456258, 5.526431 51.456131)",cycleway
4265067,way,"LINESTRING (5.500863 51.446932, 5.500617 51.446975, 5.500602 51.446978)",cycleway
4265070,way,"LINESTRING (5.499501 51.447302, 5.499473 51.447268, 5.499426 51.44724, 5.499376 51.447217, 5.498956 51.447053, 5.498479 51.446862, 5.498341 51.446806, 5.498267 51.446782, 5.498186 51.44676, 5.49796 51.446714)",cycleway
4265073,way,"LINESTRING (5.477391 51.443804, 5.477407 51.443806, 5.477638 51.443835)",cycleway
4265074,way,"LINESTRING (5.472607 51.442927, 5.47265 51.442919)",cycleway
4265076,way,"LINESTRING (5.474443 51.443249, 5.474775 51.443326)",cycleway
4265077,way,"LINESTRING (5.475704 51.443526, 5.475755 51.443535, 5.476705 51.443706, 5.476781 51.443719)",cycleway
4265078,way,"LINESTRING (5.476781 51.443719, 5.47688 51.443734)",cycleway
4265082,way,"LINESTRING (5.477449 51.444217, 5.478608 51.444436, 5.4787 51.444453, 5.478817 51.44446, 5.479094 51.444502, 5.479291 51.444534, 5.480023 51.444653, 5.48011 51.444667, 5.480126 51.444668, 5.48014 51.444666, 5.480151 51.44466, 5.480191 51.44463, 5.480225 51.444592, 5.480248 51.444577, 5.480273 51.444575, 5.48041 51.444594)",cycleway
4265083,way,"LINESTRING (5.481243 51.44477, 5.481225 51.44483, 5.48121 51.444888, 5.481201 51.44492, 5.481168 51.445042, 5.48115 51.445099, 5.481131 51.445176, 5.481128 51.445189)",cycleway
4265106,way,"LINESTRING (5.496487 51.445915, 5.496619 51.445961, 5.496795 51.446022, 5.497091 51.446072, 5.497724 51.446184, 5.498776 51.446391, 5.499536 51.44654, 5.49975 51.446556, 5.499913 51.446552, 5.500146 51.446518)",cycleway
4267984,way,"LINESTRING (5.487449 51.467439, 5.487567 51.467425, 5.487645 51.467416, 5.487777 51.4674, 5.487822 51.467397)",cycleway
4270634,way,"LINESTRING (5.488466 51.445637, 5.488452 51.445713)",cycleway
4271926,way,"LINESTRING (5.494395 51.446168, 5.494396 51.446738)",cycleway
4271929,way,"LINESTRING (5.495309 51.448129, 5.495301 51.44872, 5.4953 51.448797, 5.495298 51.449011)",cycleway
4272924,way,"LINESTRING (5.484954 51.449268, 5.485191 51.449407, 5.485669 51.449698, 5.485766 51.44976, 5.485859 51.449814, 5.485914 51.449845, 5.48595 51.449857, 5.485992 51.449867, 5.486061 51.449879, 5.486121 51.449893, 5.486229 51.449924, 5.486854 51.45011, 5.486891 51.450122, 5.486927 51.450136, 5.48707 51.450213, 5.487093 51.450225, 5.487141 51.450239, 5.487393 51.450306, 5.487596 51.450368, 5.487851 51.450429, 5.488073 51.450484, 5.488199 51.450515, 5.488331 51.450548, 5.488484 51.450587, 5.488631 51.450625, 5.488749 51.450658, 5.488879 51.450699, 5.489036 51.450754, 5.489205 51.450813, 5.489396 51.45089, 5.489554 51.450956, 5.489683 51.451004, 5.489754 51.451028, 5.489932 51.451081, 5.490014 51.451108, 5.490071 51.451128, 5.490126 51.45115, 5.490209 51.451186, 5.49028 51.451216, 5.490309 51.451227, 5.490344 51.451233, 5.490387 51.451234, 5.490572 51.451229)",cycleway
4275992,way,"LINESTRING (5.48649 51.467464, 5.487449 51.467439)",cycleway
4275996,way,"LINESTRING (5.476525 51.460829, 5.476516 51.460864, 5.476433 51.461201, 5.476373 51.461358, 5.476317 51.46161, 5.476194 51.462236, 5.476022 51.462991, 5.47596 51.463348, 5.475923 51.463653, 5.475895 51.463824, 5.475778 51.464347, 5.475767 51.464393, 5.475757 51.464438, 5.475739 51.464518, 5.475718 51.464611)",cycleway
4304645,way,"LINESTRING (5.496835 51.450082, 5.496896 51.45007, 5.496946 51.45005, 5.497005 51.450015, 5.497047 51.449984)",cycleway
4304646,way,"LINESTRING (5.497082 51.450553, 5.497165 51.450458, 5.497376 51.450247, 5.497765 51.449777, 5.497861 51.449682, 5.497937 51.449606, 5.498013 51.449518)",cycleway
4304648,way,"LINESTRING (5.491026 51.452385, 5.490966 51.451856, 5.490954 51.451795, 5.490936 51.451776, 5.490904 51.451756, 5.490837 51.45175, 5.490763 51.451753, 5.490627 51.451752)",cycleway
4316253,way,"LINESTRING (5.50731 51.449715, 5.507 51.450381)",cycleway
4322529,way,"LINESTRING (5.483969 51.444279, 5.483996 51.444318, 5.483932 51.444624, 5.483876 51.44496)",cycleway
4322530,way,"LINESTRING (5.483432 51.445278, 5.483498 51.444891)",cycleway
4322531,way,"LINESTRING (5.484844 51.449205, 5.484711 51.449151, 5.484643 51.449113, 5.483768 51.448474, 5.483567 51.448327, 5.483544 51.448308, 5.483523 51.448289, 5.483506 51.448264, 5.483497 51.448241, 5.483488 51.448179, 5.483489 51.447702, 5.483494 51.44764, 5.483494 51.447593, 5.483486 51.447533, 5.483484 51.447448, 5.483489 51.447401, 5.483494 51.447374, 5.483507 51.447351, 5.483542 51.447294, 5.483561 51.447256, 5.483574 51.447217, 5.483586 51.447131, 5.48361 51.44698, 5.483627 51.446856, 5.483623 51.44682, 5.483611 51.446785, 5.483599 51.44676, 5.483583 51.446738, 5.483518 51.446673, 5.483423 51.446562)",cycleway
4333113,way,"LINESTRING (5.500146 51.446518, 5.500266 51.446471, 5.500423 51.446398, 5.500523 51.446328, 5.501011 51.44593, 5.501414 51.445566, 5.501724 51.445375)",cycleway
4351433,way,"LINESTRING (5.51929 51.454271, 5.519321 51.454122, 5.519366 51.453981, 5.5194 51.453921, 5.51945 51.453852)",cycleway
4351434,way,"LINESTRING (5.518099 51.4553, 5.518736 51.455516, 5.519019 51.455532)",cycleway
4351437,way,"LINESTRING (5.513924 51.452066, 5.513346 51.452789)",cycleway
4353145,way,"LINESTRING (5.484376 51.442862, 5.484489 51.442682, 5.484574 51.442619, 5.484681 51.442566, 5.484756 51.4425, 5.484826 51.442421, 5.484867 51.442375)",cycleway
4353146,way,"LINESTRING (5.483498 51.444891, 5.483607 51.444354, 5.48365 51.444209)",cycleway
4353147,way,"LINESTRING (5.483747 51.443938, 5.483836 51.44368, 5.484376 51.442862)",cycleway
4358172,way,"LINESTRING (5.498013 51.449518, 5.498233 51.449538, 5.498455 51.44956, 5.498677 51.44959)",cycleway
4368489,way,"LINESTRING (5.496491 51.459314, 5.496504 51.459328, 5.496622 51.459449, 5.496697 51.459488)",cycleway
4368613,way,"LINESTRING (5.48918 51.452803, 5.48891 51.452819, 5.488552 51.452838, 5.486642 51.452962, 5.486505 51.45297, 5.486391 51.452983, 5.486232 51.453021, 5.486112 51.453061, 5.48604 51.453095, 5.485946 51.45315, 5.485836 51.453238, 5.4858 51.453266)",cycleway
4368614,way,"LINESTRING (5.481128 51.445189, 5.48114 51.445298, 5.481118 51.445394, 5.481088 51.445642, 5.481064 51.446036, 5.481063 51.446063)",cycleway
4389405,way,"LINESTRING (5.524745 51.450166, 5.524746 51.450237, 5.52474 51.450314, 5.524725 51.450401, 5.524702 51.45048, 5.524684 51.450558, 5.524634 51.450692, 5.524585 51.450751, 5.524503 51.450825, 5.524329 51.450924, 5.524152 51.451006)",cycleway
4389532,way,"LINESTRING (5.523396 51.453099, 5.523574 51.45317, 5.523863 51.453364, 5.524045 51.453472, 5.524746 51.453932, 5.525145 51.454201, 5.525339 51.454358, 5.525379 51.454404)",cycleway
4389533,way,"LINESTRING (5.52805 51.451026, 5.528176 51.451145, 5.528255 51.451211, 5.528368 51.4513, 5.52877 51.451515, 5.529546 51.451901, 5.52973 51.452, 5.529777 51.452038, 5.529796 51.452083, 5.529803 51.452119, 5.529784 51.45218, 5.529562 51.452716, 5.529512 51.452786, 5.529452 51.452838, 5.529409 51.452879, 5.52938 51.452922, 5.529247 51.453204, 5.529084 51.45358, 5.529074 51.45362, 5.529073 51.453679, 5.529143 51.454152, 5.52914 51.454179, 5.529107 51.454222, 5.529039 51.454259, 5.528701 51.454408, 5.528613 51.454419, 5.526452 51.454427, 5.52632 51.454443, 5.526193 51.454472, 5.526082 51.454515, 5.525941 51.454578, 5.525833 51.454617, 5.525749 51.454637, 5.525673 51.454649, 5.525502 51.454646)",cycleway
4400673,way,"LINESTRING (5.489319 51.45241, 5.489326 51.452462, 5.489326 51.452501, 5.489325 51.452532, 5.489332 51.452554, 5.489368 51.452571, 5.489409 51.452575, 5.489503 51.452577, 5.489524 51.452582, 5.489542 51.452588, 5.489554 51.452595, 5.489564 51.452606, 5.489574 51.452647, 5.48958 51.452683, 5.489593 51.4527, 5.489603 51.452739)",cycleway
4400677,way,"LINESTRING (5.500188 51.457646, 5.500474 51.457664, 5.501216 51.457665, 5.501808 51.457646, 5.502274 51.457626, 5.502325 51.457624)",cycleway
4471177,way,"LINESTRING (5.47715 51.446153, 5.477155 51.446198, 5.477165 51.446279, 5.47717 51.44632, 5.477174 51.446359, 5.47718 51.446411)",cycleway
4520345,way,"LINESTRING (5.48947 51.453019, 5.489611 51.453008)",cycleway
4520346,way,"LINESTRING (5.490661 51.452741, 5.490645 51.452287)",cycleway
