id,element,name,highway,bicycle,cycleway,cycleway:left,cycleway:right,cycleway:both,cyclestreet,oneway,oneway:bicycle,foot,segregated,surface,lit,maxspeed,source_query,BUURTCODE,BUURTNAAM,intersected_length_m
4260673,way,,cycleway,,,,,,,,,,,paving_stones,no,,{'highway': 'cycleway'},115,TU-terrein,36.485972513894936
4260684,way,Berenkuil,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,7.135658500672444
4260685,way,Berenkuil,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},336,Karpen,20.11861412057691
4260685,way,Berenkuil,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,10.10072710446782
4260687,way,Wolvendijk,cycleway,,,,,,,yes,,yes,no,asphalt,yes,,{'highway': 'cycleway'},337,Koudenhoven,149.91160728086206
4260692,way,Wolvendijk,cycleway,,,,,,,yes,,,,,,,{'highway': 'cycleway'},337,Koudenhoven,13.203268677722072
4260693,way,Wolvendijk,cycleway,,,,,,,no,,yes,no,asphalt,yes,,{'highway': 'cycleway'},337,Koudenhoven,89.68353941703826
4265067,way,Berenkuil,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,18.799788031465503
4265070,way,Professor Doctor Dorgelolaan,cycleway,,,,,,,no,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,126.80753829598667
4265073,way,Fellenoordpad,cycleway,,,,,,,no,,yes,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,17.48530400178194
4265074,way,,cycleway,,,,,,,no,,,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,3.1156351010492274
4265076,way,,cycleway,,,,,,,no,,,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,24.622692326561214
4265077,way,Fellenoordpad,cycleway,,,,,,,no,,,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,77.92313766948752
4265078,way,Fellenoordpad,cycleway,,,,,,,no,,yes,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,7.025466928900964
4265082,way,Fellenoord,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},114,Fellenoord,217.88464308515387
4265083,way,John F. Kennedylaan,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},114,Fellenoord,14.800517068119733
4265083,way,John F. Kennedylaan,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,32.4748609699979
4265106,way,Professor Doctor Dorgelolaan,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,266.5711232481381
4267984,way,Sterrenlaan,cycleway,,,,,,,no,,yes,,asphalt,yes,,{'highway': 'cycleway'},434,Oude Gracht-West,26.33395807981932
4270634,way,,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,8.467516148259413
4271926,way,,cycleway,,,,,,,,,,,paving_stones,no,,{'highway': 'cycleway'},115,TU-terrein,63.44656190269119
4271929,way,Horsten,cycleway,,,,,,,,,use_sidepath,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,98.12701544806542
4272924,way,Dutmalapad,cycleway,,,,,,,,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,454.4148232934989
4275992,way,Sterrenlaan,cycleway,,,,,,,no,,yes,,asphalt,yes,,{'highway': 'cycleway'},431,Generalenbuurt,26.091069818018028
4275992,way,Sterrenlaan,cycleway,,,,,,,no,,yes,,asphalt,yes,,{'highway': 'cycleway'},434,Oude Gracht-West,40.58533847634726
4275996,way,Veldmaarschalk Montgomerylaan,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},431,Generalenbuurt,424.6141107552951
4304645,way,De Lismortel,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,18.695484466547377
4304646,way,Insulindelaan,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,132.22376574139753
4304648,way,,cycleway,,,,,,,,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,90.7251183446927
4316253,way,,cycleway,,,,,,,no,,,,,,,{'highway': 'cycleway'},336,Karpen,77.19049990651561
4322529,way,,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,76.70567896161094
4322530,way,,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,43.378388537161776
4322531,way,Dutmalapad,cycleway,,,,,,,,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,334.69363522806543
4333113,way,Insulindelaan,cycleway,,,,,,,yes,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,169.11343904971724
4351433,way,Oude Muschbergweg,cycleway,,,,,,,no,,,,,,,{'highway': 'cycleway'},337,Koudenhoven,48.17837596615861
4351434,way,,cycleway,,,,,,,,,,,,,,{'highway': 'cycleway'},337,Koudenhoven,70.0847935891276
4351437,way,,cycleway,,,,,,,no,,,,,,,{'highway': 'cycleway'},337,Koudenhoven,89.94951364042569
4353145,way,,cycleway,,,,,,,,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,65.11833176874221
4353146,way,,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},115,TU-terrein,76.5716318158236
4353147,way,Dommeltunneltje,cycleway,,,,,,,,,,,asphalt,24/7,,{'highway': 'cycleway'},115,TU-terrein,127.79783377651543
4358172,way,Insulindelaan,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},336,Karpen,17.72957734565388
4358172,way,Insulindelaan,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,29.096947743514683
4368489,way,Amazonenlaan,cycleway,,,,,,,no,,,,asphalt,yes,,{'highway': 'cycleway'},435,Oude Gracht-Oost,24.364379399857146
4368613,way,Onze Lieve Vrouwestraat,cycleway,,,,,,,yes,,,,paving_stones,yes,,{'highway': 'cycleway'},433,Hondsheuvels,247.83428882212593
4368614,way,John F. Kennedylaan,cycleway,,,,,,,no,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,97.49725391920715
4389405,way,,cycleway,,,,,,,no,,,,paving_stones,,,{'highway': 'cycleway'},335,'t Hofke,108.33168806825978
4389532,way,Wolvendijk,cycleway,,,,,,,yes,,,,asphalt,yes,,{'highway': 'cycleway'},335,'t Hofke,200.96719869857142
4389533,way,Van Gogh-Roosegaarde Fietspad,cycleway,,,,,,,no,,yes,,concrete,no,,{'highway': 'cycleway'},335,'t Hofke,681.5533534890255
4400673,way,,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},433,Hondsheuvels,11.42851914827953
4400673,way,,cycleway,,,,,,,,,,,paving_stones,yes,,{'highway': 'cycleway'},115,TU-terrein,37.83018005410266
