"Niveau";"Inwoners|1950";"Inwoners|1951";"Inwoners|1952";"Inwoners|1953";"Inwoners|1954";"Inwoners|1955";"Inwoners|1956";"Inwoners|1957";"Inwoners|1958";"Inwoners|1959";"Inwoners|1960";"Inwoners|1961";"Inwoners|1962";"Inwoners|1963";"Inwoners|1964";"Inwoners|1965";"Inwoners|1966";"Inwoners|1967";"Inwoners|1968";"Inwoners|1969";"Inwoners|1970";"Inwoners|1971";"Inwoners|1972";"Inwoners|1973";"Inwoners|1974";"Inwoners|1975";"Inwoners|1976";"Inwoners|1977";"Inwoners|1978";"Inwoners|1979";"Inwoners|1980";"Inwoners|1981";"Inwoners|1982";"Inwoners|1983";"Inwoners|1984";"Inwoners|1985";"Inwoners|1986";"Inwoners|1987";"Inwoners|1988";"Inwoners|1989";"Inwoners|1990";"Inwoners|1991";"Inwoners|1992";"Inwoners|1993";"Inwoners|1994";"Inwoners|1995";"Inwoners|1996";"Inwoners|1997";"Inwoners|1998";"Inwoners|1999";"Inwoners|2000";"Inwoners|2001";"Inwoners|2002";"Inwoners|2003";"Inwoners|2004";"Inwoners|2005";"Inwoners|2006";"Inwoners|2007";"Inwoners|2008";"Inwoners|2009";"Inwoners|2010";"Inwoners|2011";"Inwoners|2012";"Inwoners|2013";"Inwoners|2014";"Inwoners|2015";"Inwoners|2016";"Inwoners|2017";"Inwoners|2018";"Inwoners|2019";"Inwoners|2020";"Inwoners|2021";"Inwoners|2022";"Inwoners|2023";"Inwoners|2024";"Inwoners|2025";"Inwoners|2026"
"Buurt Achtse Barrier-Gunterslaer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4092;4029;3954;3932;3901;3880;3879;3846;3803;3788;3767;3737;3754;3728;3737;3721;3711;3695;3717;3742;3773;""
"Buurt Achtse Barrier-Hoeven";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4467;4425;4316;4341;4304;4260;4194;4209;4163;4111;4070;4087;4048;4013;4005;3989;3936;3883;3907;3885;3886;""
"Buurt Achtse Barrier-Spaaihoef";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4876;4900;4855;4874;4818;4755;4731;4719;4685;4663;4653;4603;4549;4554;4517;4505;4474;4470;4471;4521;4524;""
"Buurt Barrier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1601;1639;1738;1948;2154;2129;2168;2181;2179;2190;2250;2252;2195;2168;2143;2130;2077;2045;2040;2047;2040;""
"Buurt BeA2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";144;61;94;52;40;50;260;42;37;35;32;29;31;27;30;25;26;32;31;28;23;""
"Buurt Beemden";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";""
"Buurt Bennekel-Oost";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3022;3109;3240;3295;3326;3334;3319;3303;3318;3283;3319;3345;3324;3343;3376;3402;3328;3341;3332;3348;3305;""
"Buurt Bennekel-West, Gagelbosch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3139;3001;2908;2858;2903;2847;2894;3165;3184;3258;3263;3253;3254;3441;3399;3388;3326;3318;3344;3342;3374;""
"Buurt Bergen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2076;2104;2134;2206;2244;2217;2336;2364;2402;2394;2479;2488;2474;2561;2620;2727;2775;2794;2832;2906;2800;""
"Buurt Binnenstad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2371;2498;2631;2695;2717;2697;2748;2868;2904;2932;3005;3071;3160;3598;3807;3750;3986;3890;4108;4074;4003;""
