"Kerncijfers wijken en buurten 2025"
""
"";"";"Districts and neighborhoods"
"Subject";"";"The Netherlands";"Aa en Hunze";"District 00 Annen";"Annen";"Aalsmeer";"District 00 Aalsmeer";"Center"
"Regioaanduiding|Gemeentenaam";"name";"TheNetherlands";"AaenHunze";"AaenHunze";"AaenHunze";"Aalsmeer";"Aalsmeer";"Aalsmeer"
"Regioaanduiding|Soort regio";"Description";"Land";"Localauthority";"Neighborhood";"Neighbourhood";"Localauthority";"Neighborhood";"Neighbourhood"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"GM0358";"WK035800";"BU03580000"
"Regioaanduiding|Indelingswijziging gemeente, wijk, buurt";"code";".";"1";"1";"1";"1";"1";"1"
"Bevolking|Aantal inwoners";"number";"18044027";"25,935";"3,600";"3,450";"33250";"13555";"2,945"
"Bevolking|Geslacht|Mannen";"number";"8978451";"12,888";"1755";"1675";"16430";"6,595";"1435"
"Bevolking|Geslacht|Vrouwen";"number";"9065576";"13047";"1845";"1770";"16820";"6,965";"1515"
"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"number";"2,698,534";"3,463";"480";"470";"5147";"1880";"355"
"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"number";"2205523";"2,531";"365";"345";"4,339";"1555";"280"
"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"number";"4650069";"4,769";"650";"640";"7470";"3160";"705"
"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"number";"4734222";"7608";"1055";"1,000";"9,857";"3715";"780"
"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"number";"3755679";"7564";"1,050";"995";"6437";"3,250";"830"
"Bevolking|Burgerlijke staat|Ongehuwd";"number";"9033869";"10515";"1460";"1410";"16455";"6520";"1355"
"Bevolking|Burgerlijke staat|Gehuwd";"number";"6747136";"11801";"1620";"1540";"13107";"5145";"1100"
"Bevolking|Burgerlijke staat|Gescheiden";"number";"1397508";"1950";"285";"275";"2165";"990";"190"
"Bevolking|Burgerlijke staat|Verweduwd";"number";"865514";"1669";"230";"225";"1523";"895";"290"
"Bevolking|Bevolking naar herkomst|Herkomstland|Nederland";"number";"12902189";"23421";"3,335";"3,200";"24080";"10045";"2,215"
"Bevolking|Bevolking naar herkomst|Herkomstland|Europa (exclusief Nederland) ";"number";"1712005";"1162";"105";"95";"3,993";"1630";"415"
"Bevolking|Bevolking naar herkomst|Herkomstland|Buiten Europa ";"number";"3,429,833";"1352";"155";"150";"5177";"1875";"320"
"Bevolking|Bevolking naar herkomst|Geboren in Nederland|Nederland";"number";"12902189";"23421";"3,335";"3,200";"24080";"10045";"2210"
"Bevolking|Bevolking naar herkomst|Geboren in Nederland|Europa (exclusief Nederland) ";"number";"611448";"466";"65";"60";"1146";"485";"110"
"Bevolking|Bevolking naar herkomst|Geboren in Nederland|Buiten Europa ";"number";"1504734";"567";"65";"65";"2,245";"820";"120"
"Bevolking|Bevolking naar herkomst|Geboren buiten Nederland|Europa (exclusief Nederland)";"number";"1100557";"696";"45";"40";"2,847";"1145";"305"
"Bevolking|Bevolking naar herkomst|Geboren buiten Nederland|Buiten Europa";"number";"1925099";"785";"85";"85";"2,932";"1055";"200"
"Bevolking|Geboorte en sterfte|Geboorte totaal";"number";".";".";".";".";".";".";"."
"Bevolking|Geboorte en sterfte|Geboorte relatief";"per 1,000 inhabitants";".";".";".";".";".";".";"."
"Bevolking|Geboorte en sterfte|Sterfte totaal";"number";".";".";".";".";".";".";"."
"Bevolking|Geboorte en sterfte|Sterfte relatief";"per 1,000 inhabitants";".";".";".";".";".";".";"."
"Bevolking|Particuliere huishoudens|Huishoudens totaal";"number";"8430352";"11,479";"1600";"1535";"14452";"6265";"1420"
"Bevolking|Particuliere huishoudens|Eenpersoonshuishoudens";"number";"3,380,900";"3,407";"470";"455";"4,963";"2,440";"630"
"Bevolking|Particuliere huishoudens|Huishoudens zonder kinderen";"number";"2,391,806";"4,471";"615";"585";"3,887";"1780";"430"
"Bevolking|Particuliere huishoudens|Huishoudens met kinderen";"number";"2657646";"3601";"515";"495";"5602";"2,040";"365"
"Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte";"number";"2.1";"2.2";"2.2";"2.2";"2.3";"2.1";"2.0"
"Bevolking|Bevolkingsdichtheid";"number of inhabitants per km²";"536";"94";"246";"1367";"1654";"1932";"5,545"
"Wonen en vastgoed|Woningvoorraad";"number";"8274478";"11555";"1666";"1601";"13731";"6206";"1504"
"Wonen en vastgoed|Nieuwbouw woningen ";"number";".";".";".";".";".";".";"."
"Wonen en vastgoed|Niet-woningvoorraad";"number";"1212492";"2,508";"110";"100";"2,507";"1,099";"218"
"Wonen en vastgoed|Nieuwbouw niet-woningen";"number";".";".";".";".";".";".";"."
"Wonen en vastgoed|Gemiddelde WOZ-waarde van woningen";"x 1,000 euros";"398";"371";"380";"371";"526";"493";"492"
"Wonen en vastgoed|Woningen naar type|Percentage eengezinswoning";"%";"63";"91";"90";"90";"77";"70";"40"
"Wonen en vastgoed|Woningen naar type|Percentage tussenwoning (eengezins)";"%";"29";"10";"16";"16";"37";"34";"15"
"Wonen en vastgoed|Woningen naar type|Percentage hoekwoning (eengezins)";"%";"13";"8";"11";"12";"17";"16";"7"
"Wonen en vastgoed|Woningen naar type|Percentage twee-onder-één-kap-woning (ee";"%";"9";"23";"24";"25";"8";"9";"9"
"Wonen en vastgoed|Woningen naar type|Percentage vrijstaande woning (eengezins";"%";"13";"49";"39";"36";"14";"11";"9"
"Wonen en vastgoed|Woningen naar type|Percentage meergezinswoning";"%";"37";"9";"10";"10";"23";"30";"60"
"Wonen en vastgoed|Onbewoonde woningen";"%";"4";"4";"3";"3";"4";"5";"6"
"Wonen en vastgoed|Woningen naar eigendom|Koopwoningen";"%";"57";"75";"75";"74";"64";"59";"58"
"Wonen en vastgoed|Woningen naar eigendom|Huurwoningen|Huurwoningen totaal";"%";"42";"25";"25";"26";"36";"41";"42"
"Wonen en vastgoed|Woningen naar eigendom|Huurwoningen|In bezit woningcorporatie";"%";"28";"19";"19";"19";"24";"25";"20"
"Wonen en vastgoed|Woningen naar eigendom|Huurwoningen|In bezit overige verhuurders";"%";"14";"5";"6";"6";"11";"16";"22"
"Wonen en vastgoed|Woningen naar bouwjaar|Bouwjaar meer dan tien jaar geleden";"%";"92";"95";"97";"97";"93";"88";"81"
