BUURTCODE,neighbourhood,population,area_km2,pop_density,accident_count,injury_count,fatal_count,property_damage_only_count,lane_length_m,parking_count,parking_capacity,accident_rate_per_1000_residents,lane_density_m_per_km2,parking_capacity_per_1000_residents
628,Mispelhoef,23.0,2.9619388646642,7.7651839051740685,26,10,0,16,11435.1629889665,0,0.0,1130.43,3860.7,0.0
621,Hurk,53.0,2.077474518260159,25.511744925943248,39,7,1,31,6637.077455434501,0,0.0,735.85,3194.78,0.0
545,Esp,17.0,0.9323446420221538,18.233600788576265,7,2,0,5,3227.154953182658,0,0.0,411.76,3461.33,0.0
726,Gennep,42.0,1.721451351924124,24.39801737821704,10,0,0,10,4756.936396592396,0,0.0,238.1,2763.33,0.0
637,Flight Forum,63.0,1.3814911541635415,45.602897861582704,14,5,0,9,11512.189275142979,0,0.0,222.22,8333.16,0.0
114,Fellenoord,194.0,0.2214637263982045,875.9899562566593,35,7,0,28,3176.165817543532,1,200.0,180.41,14341.7,1030.93
636,Park Forum,24.0,0.9817882170337372,24.44519050402831,4,3,0,1,2933.5328134641572,0,0.0,166.67,2987.95,0.0
226,Sportpark Aalsterweg,32.0,0.5656549562212234,56.57158953184358,4,1,0,3,2464.1001563516875,0,0.0,125.0,4356.19,0.0
631,BeA2,23.0,2.6201864277760354,8.778001349897062,2,1,0,1,7059.812415895321,0,0.0,86.96,2694.39,0.0
632,Meerbos,47.0,1.2332027853896217,38.11214226632702,2,1,0,1,5597.158842341265,0,0.0,42.55,4538.72,0.0
626,Wielewaal,108.0,2.3234539277081754,46.482522727072016,4,3,0,1,4043.5422421567246,0,0.0,37.04,1740.32,0.0
433,Hondsheuvels,403.0,0.4164562677913428,967.6886414443763,14,3,0,11,3642.532348488119,0,0.0,34.74,8746.49,0.0
426,Vredeoord,452.0,1.343779039720118,336.3648238583499,12,2,0,10,2684.5565712629746,0,0.0,26.55,1997.77,0.0
546,Bokt,127.0,1.394575787744471,91.06711956142917,3,0,0,3,1740.1692130821393,0,0.0,23.62,1247.81,0.0
511,Driehoeksbos,942.0,0.773801899018678,1217.365841560518,22,8,0,14,8429.20656563575,0,0.0,23.35,10893.24,0.0
111,Binnenstad,4003.0,0.6657194976891186,6013.04305175893,89,18,0,71,5043.4254510443725,5,7300.0,22.23,7575.9,1823.63
413,Gildebuurt,1677.0,0.2101610001674164,7979.596588634829,37,5,0,32,3533.4553731787787,0,0.0,22.06,16813.09,0.0
520,Kapelbeemd,107.0,0.8324472135124051,128.53667867843188,2,0,0,2,1218.8555805903263,0,0.0,18.69,1464.18,0.0
613,Engelsbergen,632.0,0.3301724463990848,1914.151247000458,11,2,0,9,2333.0640848436074,0,0.0,17.41,7066.2,0.0
425,Rapenland,2376.0,0.5273019816050971,4505.956895453914,38,4,0,34,6550.981931495389,0,0.0,15.99,12423.59,0.0
